key,es,en
delete,Eliminar,Delete
change,Cambiar,Change
search,Buscar,Search
posts,Publicaciones,Posts
users,Usuarios,Users
settings,Configuración,Settings
home,Inicio,Home
post,Publicar,Post
logout,Cerrar sesión,Log out
areYouSureLogout,¿Quieres cerrar sesión?,Do you wanna log out?
deleteAccount,Eliminar cuenta,Delete account
comment,Comentar,Comment
cancel,Cancelar,Cancel
uploadImage,Subir imágen,Upload image
removeImage,Remover imágen,Remove image
changePicture,Cambiar foto de perfil,Change profile picture
searchMyPosts,Buscar mis publicaciones...,Search my posts...
account,Cuenta,Account
display,Visualización,Display
youJoined,Te uniste el,You joined
userNotFound,Usuario no encontrado,User not found
password,Contraseña,Password
nameInUse,"Nombre de usuario en uso, elige otro","Name in use, try other"
language,Idioma,Language
changeName,Cambiar nombre,Change name
changeDescription,Cambiar descripción,Change description
changeEmail,Cambiar email,Change email
changePassword,Cambiar contraseña,Change password
changeLanguage,Cambiar idioma,Change language
email,Email,Email
errorDuringAccountEditing,Error mientras se editaba la cuenta,Error during account editing
loading,Cargando,Loading
youAreNotLogged,¡No iniciaste sesión!,You aren't logged!
iHaveAnAccount,Tengo una cuenta,I have an account
emailInUse,Este email está en uso,Email in use
seeTerms,Ver términos,See terms
policy,Politica,Policy
followers,Seguidores,Followers
following,Siguiendo,Following
youMustUnderstandAction,Debes confirmar que entiendes que esta acción es irreversible,You must check that you understand this action is irreversible
iDontHaveAnAccount,No tengo una cuenta,I don't have an account
thisUserHasnotDescription,Este usuario no tiene descripción,This user hasn't description
joined,Se unió el,Joined
areYouSureDelete,¿Estás seguro de que quieres eliminar tu cuenta?,Are you sure that you wanna delete your account?
irreversibleAction,Entiendo que esta acción es irreversible,I understand this action is irreversible
welcomeTo,Bienvenido a,Welcome to
emptyNameError,Completá tu nombre,Complete name field
nameLengthError,Tu nombre debe tener entre 3 y 20 caracteres,Name must be between 3 and 20 characters long
emptyDescriptionError,Completá tu descripción,Complete description field
descriptionLengthError,Tu descripción no puede tener más de 200 caracteres,Description can't have more than 200 characters
emptyEmailError,Completá tu email,Complete email field
invalidEmailError,Tu email es inválido,Invalid email format
emptyPasswordError,Completá tu contraseña,Complete password field
passwordLengthError,Tu contraseña debe tener como mínimo 6 caracteres,Password must be at least 6 characters long
confirmPassword,Confirmá tu contraseña,Confirm password
passwordsDontMatch,Tus contraseñas no coinciden,Passwords don't match
youMustAgreeWithTerms,Debes estar de acuerdo con los términos,You must agree with the terms
emptyPostError,Tu publicación está vacía,Post is empty
commentLengthError,Tu comentario no puede tener más de 200 caracteres,Comment can't have more than 200 characters
postLengthError,Tu publicación no puede tener más de 200 caracteres,Post can't have more than 200 characters
youDontHaveDescription,No tienes descripción,You don't have description
somethingWentWrong,"Algo salió mal, intenta de nuevo","Something went wrong, try again"
noPosts,No hay posts...,No posts...
noUsers,No hay usuarios...,No users...
login,Iniciar sesión,Login
register,Registrarse,Register
beTheFirstPoster,¡Sé el primero en ,Be the first to 
name,Nombre,Name
today,Hoy,Today
yesterday,Ayer,Yesterday
nameOrPasswordWrong,¡El nombre o la contraseña están mal!,The name or password are wrong!
iAgreeWith,Estoy de acuerdo con los,I agree with
termsAndConditions,Términos y Condiciones,Terms & Conditions
createPlaceholder0,No puedo creer que vi un OVNI...,I can't believe I just saw a UFO...
createPlaceholder1,"Estoy muy enojado, no puedo creer que hayan hecho eso...","I'm so angry, I can't believe they did that..."
createPlaceholder2,No puedo dejar de pensar en...,I can't stop thinking about...
createPlaceholder3,Hoy me pasó la cosa más vergonsoza del mundo...,The most embarrassing thing happened to me today...
createPlaceholder4,Mi mascota acaba de hacer algo muy gracioso...,My pet just did the funniest thing...
createPlaceholder5,¿Alguien tiene tips para estar motivado?,Does anyone have tips on how to stay motivated?
createPlaceholder6,No puedo esperar para compartirles mi idea...,I can't wait to share this idea with you all...
createPlaceholder7,Me siento nostálgico sobre...,I'm feeling nostalgic about...
createPlaceholder8,¿Quién más recuerda cuando...?,Who else remembers when we used to...
createPlaceholder9,"Acabo de ver la mejor película de todas, se llama...",I just watched the best movie ever! It’s called...
createPlaceholder10,Tuve el sueño más raro de mi vida...,I had the weirdest dream last night...
follow,Seguir,Follow
unfollow,Dejar de seguir,Unfollow
connectionError,Error de conexión,Conexion error
solveConnectionError,Refresca la página y vuelve a intentar,Refresh the page and try again
refreshPage,Refrescar página,Refresh page
